"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Condition","Measure ID","Measure Name","Score","Sample","Footnote","Start Date","End Date"
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,6153,20,01/01/2023,12/31/2023
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,80,163,"2, 20",01/01/2023,12/31/2023
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,79,149,"2, 20",01/01/2023,12/31/2023
03013F,VA S. ARIZONA HEALTHCARE SYSTEM,3601 SOUTH SIXTH AVENUE,TUCSON,AZ,85723,PIMA,(520) 629-1821,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,75,142,"2, 20",01/01/2023,12/31/2023
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,5,01/01/2023,12/31/2023
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,5,01/01/2023,12/31/2023
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,96,84,"2, 20",01/01/2023,12/31/2023
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,86,71,"2, 20",01/01/2023,12/31/2023
03033F,VA NORTHERN ARIZONA HEALTHCARE SYSTEM,500 HIGHWAY 89 NORTH,PRESCOTT,AZ,86313,YAVAPAI,(928) 445-4860,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,94,70,"2, 20",01/01/2023,12/31/2023
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,2404,20,01/01/2023,12/31/2023
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,2404,20,01/01/2023,12/31/2023
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,95,168,"2, 20",01/01/2023,12/31/2023
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,86,210,"2, 20",01/01/2023,12/31/2023
04009F,FAYETTEVILLE AR VA MEDICAL CENTER,1100 N. COLLEGE AVENUE,FAYETTEVILLE,AR,72703,WASHINGTON,(479) 444-5058,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,90,199,"2, 20",01/01/2023,12/31/2023
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.47,9034,20,01/01/2023,12/31/2023
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,9034,20,01/01/2023,12/31/2023
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,81,121,"2, 20",01/01/2023,12/31/2023
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,81,155,"2, 20",01/01/2023,12/31/2023
04010F,VA CENTRAL AR. VETERANS HEALTHCARE SYSTEM LR,4300 WEST SEVENTH STREET,LITTLE ROCK,AR,72205,PULASKI,(501) 257-1000,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,61,198,"2, 20",01/01/2023,12/31/2023
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0,1921,20,01/01/2023,12/31/2023
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.59,1921,20,01/01/2023,12/31/2023
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,73,99,"2, 20",01/01/2023,12/31/2023
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,88,99,"2, 20",01/01/2023,12/31/2023
05025F,FRESNO VA MEDICAL CENTER (VA CENTRAL CALIFORNIA HEALTHCARE SYSTEM),2615 E. CLINTON AVENUE,FRESNO,CA,93703,FRESNO,(559) 228-5338,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,95,56,"2, 20",01/01/2023,12/31/2023
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.17,10569,20,01/01/2023,12/31/2023
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.03,10569,20,01/01/2023,12/31/2023
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,72,97,"2, 20",01/01/2023,12/31/2023
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,84,117,"2, 20",01/01/2023,12/31/2023
05027F,VA LONG BEACH HEALTHCARE SYSTEM,5901 E. SEVENTH STREET,LONG BEACH,CA,90822,LOS ANGELES,(562) 826-8000,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,91,81,"2, 20",01/01/2023,12/31/2023
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.17,3802,20,01/01/2023,12/31/2023
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.42,3802,20,01/01/2023,12/31/2023
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,60,73,"2, 20",01/01/2023,12/31/2023
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,60,65,"2, 20",01/01/2023,12/31/2023
05030F,VA N CALIFORNIA HEALTHCARE SYSTEM,10535 HOSPITAL WAY,MATHER,CA,95655,SACRAMENTO,(800) 382-8387,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,42,64,"2, 20",01/01/2023,12/31/2023
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.14,9924,20,01/01/2023,12/31/2023
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0,9924,20,01/01/2023,12/31/2023
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,99,76,"2, 20",01/01/2023,12/31/2023
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,99,114,"2, 20",01/01/2023,12/31/2023
05031F,PALO ALTO VA MEDICAL CENTER,3801 MIRANDA AVENUE,PALO ALTO,CA,94304,SANTA CLARA,(650) 858-3939,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,100,136,"2, 20",01/01/2023,12/31/2023
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,(858) 552-8585,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.07,11720,20,01/01/2023,12/31/2023
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,(858) 552-8585,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.05,11720,20,01/01/2023,12/31/2023
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,(858) 552-8585,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,65,120,"2, 20",01/01/2023,12/31/2023
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,(858) 552-8585,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,91,82,"2, 20",01/01/2023,12/31/2023
05114F,VA SAN DIEGO HEALTHCARE SYSTEM,3350 LA JOLLA VILLAGE DRIVE,SAN DIEGO,CA,92161,SAN DIEGO,(858) 552-8585,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,98,88,"2, 20",01/01/2023,12/31/2023
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,(909) 825-7084,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.05,7306,20,01/01/2023,12/31/2023
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,(909) 825-7084,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,1.83,7306,20,01/01/2023,12/31/2023
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,(909) 825-7084,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,61,109,"2, 20",01/01/2023,12/31/2023
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,(909) 825-7084,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,82,125,"2, 20",01/01/2023,12/31/2023
05127F,LOMA LINDA VA MEDICAL CENTER,11201 BENTON STREET,LOMA LINDA,CA,92357,SAN BERNARDINO,(909) 825-7084,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,60,97,"2, 20",01/01/2023,12/31/2023
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.23,22546,20,01/01/2023,12/31/2023
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,1.57,22546,20,01/01/2023,12/31/2023
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,26,213,"2, 20",01/01/2023,12/31/2023
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,55,153,"2, 20",01/01/2023,12/31/2023
05128F,VA GREATER LOS ANGELES HEALTHCARE SYSTEM,11301 WILSHIRE BLVD.,LOS ANGELES,CA,90073,LOS ANGELES,(310) 478-3711,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,55,92,"2, 20",01/01/2023,12/31/2023
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,(415) 221-4810,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,5,01/01/2023,12/31/2023
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,(415) 221-4810,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,Not Available,Not Available,5,01/01/2023,12/31/2023
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,(415) 221-4810,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,83,58,"2, 20",01/01/2023,12/31/2023
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,(415) 221-4810,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,56,71,"2, 20",01/01/2023,12/31/2023
05130F,SAN FRANCISCO VA MEDICAL CENTER,4150 CLEMENT STREET,SAN FRANCISCO,CA,94121,SAN FRANCISCO,(415) 221-4810,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,58,66,"2, 20",01/01/2023,12/31/2023
06005F,VA EASTERN COLORADO HEALTHCARE SYSTEM,1700 NORTH WHEELING STREET,AURORA,CO,80045,ADAMS,(303) 399-8020,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.15,6700,20,01/01/2023,12/31/2023
06005F,VA EASTERN COLORADO HEALTHCARE SYSTEM,1700 NORTH WHEELING STREET,AURORA,CO,80045,ADAMS,(303) 399-8020,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,1.17,6700,20,01/01/2023,12/31/2023
06005F,VA EASTERN COLORADO HEALTHCARE SYSTEM,1700 NORTH WHEELING STREET,AURORA,CO,80045,ADAMS,(303) 399-8020,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,26,172,"2, 20",01/01/2023,12/31/2023
06005F,VA EASTERN COLORADO HEALTHCARE SYSTEM,1700 NORTH WHEELING STREET,AURORA,CO,80045,ADAMS,(303) 399-8020,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,45,103,"2, 20",01/01/2023,12/31/2023
06005F,VA EASTERN COLORADO HEALTHCARE SYSTEM,1700 NORTH WHEELING STREET,AURORA,CO,80045,ADAMS,(303) 399-8020,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,25,122,"2, 20",01/01/2023,12/31/2023
06007F,GRAND JUNCTION VA MEDICAL CENTER,2121 N. AVENUE,GRAND JUNCTION,CO,81501,MESA,(970) 244-1329,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.43,958,20,01/01/2023,12/31/2023
06007F,GRAND JUNCTION VA MEDICAL CENTER,2121 N. AVENUE,GRAND JUNCTION,CO,81501,MESA,(970) 244-1329,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.07,958,20,01/01/2023,12/31/2023
06007F,GRAND JUNCTION VA MEDICAL CENTER,2121 N. AVENUE,GRAND JUNCTION,CO,81501,MESA,(970) 244-1329,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,82,85,"2, 20",01/01/2023,12/31/2023
06007F,GRAND JUNCTION VA MEDICAL CENTER,2121 N. AVENUE,GRAND JUNCTION,CO,81501,MESA,(970) 244-1329,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,88,76,"2, 20",01/01/2023,12/31/2023
06007F,GRAND JUNCTION VA MEDICAL CENTER,2121 N. AVENUE,GRAND JUNCTION,CO,81501,MESA,(970) 244-1329,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,74,86,"2, 20",01/01/2023,12/31/2023
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,06516,NEW HAVEN,(203) 932-5711,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,0.1,5235,20,01/01/2023,12/31/2023
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,06516,NEW HAVEN,(203) 932-5711,Inpatient Psychiatric Facility Measures,HBIPS-3,Hours of seclusion,0.11,5235,20,01/01/2023,12/31/2023
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,06516,NEW HAVEN,(203) 932-5711,Inpatient Psychiatric Facility Measures,SUB_2,Alcohol use brief intervention provided or offered,61,88,"2, 20",01/01/2023,12/31/2023
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,06516,NEW HAVEN,(203) 932-5711,Inpatient Psychiatric Facility Measures,SUB_3,Alcohol and other drug use disorder treatment provided or offered at discharge,57,81,"2, 20",01/01/2023,12/31/2023
07003F,WEST HAVEN VA MEDICAL CENTER,950 CAMPBELL AVENUE,WEST HAVEN,CT,06516,NEW HAVEN,(203) 932-5711,Inpatient Psychiatric Facility Measures,TOB_3,Tobacco Use Treatment Provided or Offered at Discharge,86,88,"2, 20",01/01/2023,12/31/2023
08002F,WILMINGTON VA MEDICAL CENTER,1601 KIRKWOOD HIGHWAY,WILMINGTON,DE,19805,NEW CASTLE,(302) 994-2511,Inpatient Psychiatric Facility Measures,HBIPS-2,Hours of physical-restraint use,Not Available,Not Available,5,01/01/2023,12/31/2023
