"State","Measure ID","Measure Name","Score","Footnote","Start Date","End Date"
AS,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,10/01/2023,09/30/2024
AS,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,10/01/2023,09/30/2024
AS,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,10/01/2023,09/30/2024
AS,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_5_SIR,MRSA Bacteremia,Not Available,5,10/01/2023,09/30/2024
AS,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
AS,HAI_6_SIR,Clostridium Difficile (C.Diff),Not Available,5,10/01/2023,09/30/2024
AZ,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.485,,10/01/2023,09/30/2024
AZ,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.638,,10/01/2023,09/30/2024
AZ,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.557,,10/01/2023,09/30/2024
AZ,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.361,,10/01/2023,09/30/2024
AZ,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.484,,10/01/2023,09/30/2024
AZ,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.419,,10/01/2023,09/30/2024
AZ,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.722,,10/01/2023,09/30/2024
AZ,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.972,,10/01/2023,09/30/2024
AZ,HAI_3_SIR,SSI - Colon Surgery,0.840,,10/01/2023,09/30/2024
AZ,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.825,,10/01/2023,09/30/2024
AZ,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.473,,10/01/2023,09/30/2024
AZ,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.114,,10/01/2023,09/30/2024
AZ,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.438,,10/01/2023,09/30/2024
AZ,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.645,,10/01/2023,09/30/2024
AZ,HAI_5_SIR,MRSA Bacteremia,0.534,,10/01/2023,09/30/2024
AZ,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.383,,10/01/2023,09/30/2024
AZ,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.443,,10/01/2023,09/30/2024
AZ,HAI_6_SIR,Clostridium Difficile (C.Diff),0.412,,10/01/2023,09/30/2024
CA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.599,,10/01/2023,09/30/2024
CA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.674,,10/01/2023,09/30/2024
CA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.636,,10/01/2023,09/30/2024
CA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.583,,10/01/2023,09/30/2024
CA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.653,,10/01/2023,09/30/2024
CA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.617,,10/01/2023,09/30/2024
CA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.755,,10/01/2023,09/30/2024
CA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.878,,10/01/2023,09/30/2024
CA,HAI_3_SIR,SSI - Colon Surgery,0.815,,10/01/2023,09/30/2024
CA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,1.109,,10/01/2023,09/30/2024
CA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.462,,10/01/2023,09/30/2024
CA,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.276,,10/01/2023,09/30/2024
CA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.596,,10/01/2023,09/30/2024
CA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.700,,10/01/2023,09/30/2024
CA,HAI_5_SIR,MRSA Bacteremia,0.647,,10/01/2023,09/30/2024
CA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.417,,10/01/2023,09/30/2024
CA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.445,,10/01/2023,09/30/2024
CA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.431,,10/01/2023,09/30/2024
CO,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.464,,10/01/2023,09/30/2024
CO,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.665,,10/01/2023,09/30/2024
CO,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.558,,10/01/2023,09/30/2024
CO,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.422,,10/01/2023,09/30/2024
CO,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.597,,10/01/2023,09/30/2024
CO,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.503,,10/01/2023,09/30/2024
CO,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,1.009,,10/01/2023,09/30/2024
CO,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.354,,10/01/2023,09/30/2024
CO,HAI_3_SIR,SSI - Colon Surgery,1.172,,10/01/2023,09/30/2024
CO,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.713,,10/01/2023,09/30/2024
CO,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.387,,10/01/2023,09/30/2024
CO,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.008,,10/01/2023,09/30/2024
CO,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.484,,10/01/2023,09/30/2024
CO,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.746,,10/01/2023,09/30/2024
CO,HAI_5_SIR,MRSA Bacteremia,0.604,,10/01/2023,09/30/2024
CO,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.318,,10/01/2023,09/30/2024
CO,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.388,,10/01/2023,09/30/2024
CO,HAI_6_SIR,Clostridium Difficile (C.Diff),0.352,,10/01/2023,09/30/2024
CT,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.476,,10/01/2023,09/30/2024
CT,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.689,,10/01/2023,09/30/2024
CT,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.575,,10/01/2023,09/30/2024
CT,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.333,,10/01/2023,09/30/2024
CT,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.496,,10/01/2023,09/30/2024
CT,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.409,,10/01/2023,09/30/2024
CT,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.649,,10/01/2023,09/30/2024
CT,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.018,,10/01/2023,09/30/2024
CT,HAI_3_SIR,SSI - Colon Surgery,0.818,,10/01/2023,09/30/2024
CT,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.734,,10/01/2023,09/30/2024
CT,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.642,,10/01/2023,09/30/2024
CT,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.120,,10/01/2023,09/30/2024
CT,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.471,,10/01/2023,09/30/2024
CT,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.754,,10/01/2023,09/30/2024
CT,HAI_5_SIR,MRSA Bacteremia,0.600,,10/01/2023,09/30/2024
CT,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.340,,10/01/2023,09/30/2024
CT,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.423,,10/01/2023,09/30/2024
CT,HAI_6_SIR,Clostridium Difficile (C.Diff),0.380,,10/01/2023,09/30/2024
DC,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.811,,10/01/2023,09/30/2024
DC,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,1.261,,10/01/2023,09/30/2024
DC,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),1.017,,10/01/2023,09/30/2024
DC,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.193,,10/01/2023,09/30/2024
DC,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.412,,10/01/2023,09/30/2024
DC,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.287,,10/01/2023,09/30/2024
DC,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.377,,10/01/2023,09/30/2024
DC,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.956,,10/01/2023,09/30/2024
DC,HAI_3_SIR,SSI - Colon Surgery,0.617,,10/01/2023,09/30/2024
DC,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.565,,10/01/2023,09/30/2024
DC,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.312,,10/01/2023,09/30/2024
DC,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.217,,10/01/2023,09/30/2024
DC,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.498,,10/01/2023,09/30/2024
DC,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.934,,10/01/2023,09/30/2024
DC,HAI_5_SIR,MRSA Bacteremia,0.690,,10/01/2023,09/30/2024
DC,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.352,,10/01/2023,09/30/2024
DC,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.483,,10/01/2023,09/30/2024
DC,HAI_6_SIR,Clostridium Difficile (C.Diff),0.414,,10/01/2023,09/30/2024
DE,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.377,,10/01/2023,09/30/2024
DE,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.773,,10/01/2023,09/30/2024
DE,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.548,,10/01/2023,09/30/2024
DE,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.340,,10/01/2023,09/30/2024
DE,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.773,,10/01/2023,09/30/2024
DE,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.523,,10/01/2023,09/30/2024
DE,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.780,,10/01/2023,09/30/2024
DE,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.531,,10/01/2023,09/30/2024
DE,HAI_3_SIR,SSI - Colon Surgery,1.108,,10/01/2023,09/30/2024
DE,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.186,,10/01/2023,09/30/2024
DE,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,1.986,,10/01/2023,09/30/2024
DE,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.730,,10/01/2023,09/30/2024
DE,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.369,,10/01/2023,09/30/2024
DE,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.838,,10/01/2023,09/30/2024
DE,HAI_5_SIR,MRSA Bacteremia,0.568,,10/01/2023,09/30/2024
DE,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.322,,10/01/2023,09/30/2024
DE,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.482,,10/01/2023,09/30/2024
DE,HAI_6_SIR,Clostridium Difficile (C.Diff),0.396,,10/01/2023,09/30/2024
FL,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.488,,10/01/2023,09/30/2024
FL,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.571,,10/01/2023,09/30/2024
FL,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.528,,10/01/2023,09/30/2024
FL,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.352,,10/01/2023,09/30/2024
FL,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.419,,10/01/2023,09/30/2024
FL,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.384,,10/01/2023,09/30/2024
FL,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.661,,10/01/2023,09/30/2024
FL,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,0.786,,10/01/2023,09/30/2024
FL,HAI_3_SIR,SSI - Colon Surgery,0.722,,10/01/2023,09/30/2024
FL,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,0.683,,10/01/2023,09/30/2024
FL,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,0.965,,10/01/2023,09/30/2024
FL,HAI_4_SIR,SSI - Abdominal Hysterectomy,0.815,,10/01/2023,09/30/2024
FL,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.737,,10/01/2023,09/30/2024
FL,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.860,,10/01/2023,09/30/2024
FL,HAI_5_SIR,MRSA Bacteremia,0.797,,10/01/2023,09/30/2024
FL,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.243,,10/01/2023,09/30/2024
FL,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.267,,10/01/2023,09/30/2024
FL,HAI_6_SIR,Clostridium Difficile (C.Diff),0.255,,10/01/2023,09/30/2024
GA,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,0.646,,10/01/2023,09/30/2024
GA,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,0.773,,10/01/2023,09/30/2024
GA,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),0.707,,10/01/2023,09/30/2024
GA,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,0.493,,10/01/2023,09/30/2024
GA,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,0.603,,10/01/2023,09/30/2024
GA,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),0.546,,10/01/2023,09/30/2024
GA,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,0.885,,10/01/2023,09/30/2024
GA,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,1.107,,10/01/2023,09/30/2024
GA,HAI_3_SIR,SSI - Colon Surgery,0.992,,10/01/2023,09/30/2024
GA,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,1.487,,10/01/2023,09/30/2024
GA,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,2.015,,10/01/2023,09/30/2024
GA,HAI_4_SIR,SSI - Abdominal Hysterectomy,1.736,,10/01/2023,09/30/2024
GA,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,0.698,,10/01/2023,09/30/2024
GA,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,0.879,,10/01/2023,09/30/2024
GA,HAI_5_SIR,MRSA Bacteremia,0.784,,10/01/2023,09/30/2024
GA,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,0.344,,10/01/2023,09/30/2024
GA,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,0.389,,10/01/2023,09/30/2024
GA,HAI_6_SIR,Clostridium Difficile (C.Diff),0.366,,10/01/2023,09/30/2024
GU,HAI_1_CILOWER,Central Line Associated Bloodstream Infection (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
GU,HAI_1_CIUPPER,Central Line Associated Bloodstream Infection (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
GU,HAI_1_SIR,Central Line Associated Bloodstream Infection (ICU + select Wards),Not Available,5,10/01/2023,09/30/2024
GU,HAI_2_CILOWER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
GU,HAI_2_CIUPPER,Catheter Associated Urinary Tract Infections (ICU + select Wards): Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
GU,HAI_2_SIR,Catheter Associated Urinary Tract Infections (ICU + select Wards),Not Available,5,10/01/2023,09/30/2024
GU,HAI_3_CILOWER,SSI - Colon Surgery: Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
GU,HAI_3_CIUPPER,SSI - Colon Surgery: Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
GU,HAI_3_SIR,SSI - Colon Surgery,Not Available,5,10/01/2023,09/30/2024
GU,HAI_4_CILOWER,SSI - Abdominal Hysterectomy: Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
GU,HAI_4_CIUPPER,SSI - Abdominal Hysterectomy: Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
GU,HAI_4_SIR,SSI - Abdominal Hysterectomy,Not Available,5,10/01/2023,09/30/2024
GU,HAI_5_CILOWER,MRSA Bacteremia: Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
GU,HAI_5_CIUPPER,MRSA Bacteremia: Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
GU,HAI_5_SIR,MRSA Bacteremia,Not Available,5,10/01/2023,09/30/2024
GU,HAI_6_CILOWER,Clostridium Difficile (C.Diff): Lower Confidence Limit,Not Available,5,10/01/2023,09/30/2024
GU,HAI_6_CIUPPER,Clostridium Difficile (C.Diff): Upper Confidence Limit,Not Available,5,10/01/2023,09/30/2024
