"Facility ID","Facility Name","Address","City/Town","State","ZIP Code","County/Parish","Telephone Number","Patients who reported that staff definitely gave care in a professional way and the facility was clean","Patients who reported that staff somewhat gave care in a professional way or the facility was somewhat clean","Patients who reported that staff did not give care in a professional way or the facility was not clean","Facilities and staff linear mean score","Patients who reported that staff definitely communicated about what to expect during and after the procedure","Patients who reported that staff somewhat communicated about what to expect during and after the procedure","Patients who reported that staff did not communicate about what to expect during and after the procedure","Communication about your procedure linear mean score","Patients who gave the facility a rating of 9 or 10 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 7 or 8 on a scale from 0 (lowest) to 10 (highest)","Patients who gave the facility a rating of 0 to 6 on a scale from 0 (lowest) to 10 (highest)","Patients' rating of the facility linear mean score","Patients who reported YES they would DEFINITELY recommend the facility to family or friends","Patients who reported PROBABLY YES they would recommend the facility to family or friends","Patients who reported NO, they would not recommend the facility to family or friends","Patients recommending the facility linear mean score","Footnote","Number of Sampled Patients","Number of Completed Surveys","Survey Response Rate Percent","Start Date","End Date"
03C0001352,SURGCENTER OF DEER VALLEY LLC,19820 NORTH 7TH ST SUITE 190,PHOENIX,AZ,85024,,(602) 904-7039,96,3,1,98,89,9,2,94,88,10,2,95,83,16,1,94,,909,260,29,10/01/2023,09/30/2024
03C0001356,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GLENDALE,18555 NORTH 79TH AVE BUILDING C,GLENDALE,AZ,85308,,(623) 776-2500,99,1,0,99,93,6,1,96,94,5,1,97,89,9,2,95,,1136,259,23,10/01/2023,09/30/2024
03C0001357,SURGERY CENTER OF SCOTTSDALE LLC DBA MOUNTAIN VIEW SURGERY CENTER OF GILBERT,2450 EAST GUADALUPE RD SUITE 101,GILBERT,AZ,85234,,(480) 398-8456,98,2,0,99,94,4,2,96,92,8,0,96,91,8,1,97,,798,203,25,10/01/2023,09/30/2024
03C0001359,SURGCENTER TUCSON LLC,3935 E. FT. LOWELL RD,TUCSON,AZ,85712,,(520) 396-4420,97,2,1,98,88,10,2,93,87,11,2,94,83,15,2,93,,577,239,41,10/01/2023,09/30/2024
03C0001361,SURGCENTER CAMELBACK,6245 NORTH 24TH PARKWAY SUITE 112,PHOENIX,AZ,85016,,(602) 682-7005,97,3,0,99,92,6,2,95,89,10,1,95,87,10,3,94,,773,200,26,10/01/2023,09/30/2024
03C0001393,ORO VALLEY SURGICAL SUITES LLC,8500 NORTH ORACLE RD SUITE 150,ORO VALLEY,AZ,85704,,(520) 462-0220,98,2,0,99,93,6,1,96,94,5,1,97,94,5,1,98,,667,332,50,10/01/2023,09/30/2024
03C0001394,PHOENIX SPINE GOODYEAR ASC LLC DBA PHOENIX SPINE GOODYEAR AMBULATORY SURGERY CENTER,140 NORTH LITCHFIELD ROAD SUITE 110,GOODYEAR,AZ,85338,,(602) 533-2160,,,,,,,,,,,,,,,,,4,,,,,
03C0001395,ORTHOARIZONA SURGERY CENTER GILBERT,1675 EAST MELROSE ST SUITE 201,GILBERT,AZ,85297,,(480) 519-8100,98,2,0,99,93,6,1,96,92,7,1,96,90,9,1,96,,943,278,29,10/01/2023,09/30/2024
03C0001408,YUMA ADVANCED SURGICAL SUITES,1030 WEST 24TH ST SUITE H,YUMA,AZ,85364,,(928) 259-7522,98,2,0,99,92,6,2,95,93,7,0,97,91,8,1,96,,734,293,40,10/01/2023,09/30/2024
03C0001414,WESTGATE SURGERY CENTER,7730 NORTH 99TH AVE SUITE 100,GLENDALE,AZ,85307,,(623) 888-5500,99,1,0,99,93,6,1,96,96,3,1,97,90,8,2,96,,1465,288,20,10/01/2023,09/30/2024
03C0001428,SOUTHWEST CARDIOVASCULAR INTERVENTIONAL CENTER LLC,7529 EAST BROADWAY ROAD SUITE 104,MESA,AZ,85208,,(480) 945-4343,,,,,,,,,,,,,,,,,4,,,,,
03C0001434,UROLOGY ASC PHOENIX DBA UROLOGIC SURGERY CENTER OF ARIZONA,1313 EAST OSBORD ROAD SUITE 170B,PHOENIX,AZ,85014,,(410) 581-1600,94,5,1,97,89,9,2,94,84,13,3,93,78,18,4,91,,1010,216,22,10/01/2023,09/30/2024
03C0001456,UROLOGY ASC PHOENIX LLC DBA UROLOGIC SURGERY CENTER OF ARIZONA,17300 NORTH PERIMETER DRIVE SUITE 200,SCOTTSDALE,AZ,85255,,(480) 661-2662,96,3,1,98,87,11,2,93,86,10,4,93,83,14,3,93,,1088,309,29,10/01/2023,09/30/2024
04C0001059,EXECUTIVE PARK SURGERY CENTER OF FORT SMITH INC,3314 SOUTH 70TH ST,FORT SMITH,AR,72903,,(479) 478-3030,,,,,,,,,,,,,,,,,4,,,,,
04C0001081,NATIONAL PARK ENDOSCOPY CENTER LLC DBA SOUTH CENTRAL ENDOSCOPY,124 SAWTOOTH OAK ST,HOT SPRINGS,AR,71901,,(501) 623-7800,96,3,1,98,90,8,2,94,86,11,3,94,82,15,3,93,,688,140,20,10/01/2023,09/30/2024
04C0001105,ORTHOARKANSAS SPINE INSTITUTE PROCEDURE CENTER LLC,800 FAIR PARK BOULEVARD SUITE 300,LITTLE ROCK,AR,72204,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
04C0001118,PINNACLE SURGERY CENTER LLC,3721 CHAMPIONS DRIVE SUITE 100,ROGERS,AR,72758,,(501) 519-5401,,,,,,,,,,,,,,,,,4,,,,,
05C0001006,SAN GABRIEL VALLEY SURGICAL CENTER LP,1250 SOUTH SUNSET AVE SUITE 100,WEST COVINA,CA,91790,,(626) 960-6623,96,3,1,98,91,7,2,94,87,9,4,94,84,14,2,94,,661,190,29,10/01/2023,09/30/2024
05C0001028,MONTEREY PENINSULA SURGERY CENTER LLC,"966 CASS ST, SUITE 150",MONTEREY,CA,93940,,(831) 372-2169,,,,,,,,,,,,,,,,,4,,,,,
05C0001174,MISSION AMBULATORY SURGICENTER,26730 CROWN VALLEY PARKWAY SUITE 100,MISSION VIEJO,CA,92691,,(949) 364-2201,98,2,0,99,91,7,2,95,92,7,1,96,89,9,2,95,2,1215,235,19,10/01/2023,09/30/2024
05C0001198,HEALTHCARE PARTNER AMBULATORY SURGERY CENTER,"2600 REDONDO AVE, SUITE 103",LONG BEACH,CA,90806,,(562) 988-7162,96,4,0,98,89,9,2,94,85,14,1,94,83,13,4,92,,1248,302,24,10/01/2023,09/30/2024
05C0001204,CENTER FOR ENDOSCOPY LLC,3921 WARING RD SUITE B,OCEANSIDE,CA,92056,,(740) 940-6300,,,,,,,,,,,,,,,,,4,,,,,
05C0001243,NEWPORT BEACH SURGERY CENTER L P,361 HOSPITAL RD.,NEWPORT BEACH,CA,92663,,(949) 631-0988,97,2,1,98,93,6,1,96,92,7,1,96,88,9,3,95,,1725,350,20,10/01/2023,09/30/2024
05C0001262,SALINAS SURGERY CENTER,955 BLANCO CIR. STE. 1,SALINAS,CA,93901,,(831) 372-2169,,,,,,,,,,,,,,,,,4,,,,,
05C0001313,SEQUOIA SURGERY CENTER LLC,842 SOUTH AKERS ST,VISALIA,CA,93277,,(559) 740-4094,,,,,,,,,,,,,,,,,4,,,,,
05C0001321,EL MIRADOR SURGERY CENTER LLC DBA EL MIRADOR SURGERY CENTER,1180 NORTH INDIAN CANYON DR SUITE W110,PALM SPRINGS,CA,92262,,(760) 416-4600,95,4,1,97,88,9,3,93,86,12,2,95,84,14,2,94,,1261,321,25,10/01/2023,09/30/2024
05C0001447,COAST SURGERY CENTER LP,3445 PACIFIC COAST HWY SUITE 110,TORRANCE,CA,90505,,(310) 325-4555,98,2,0,99,92,6,2,95,93,7,0,96,82,17,1,93,,987,229,23,10/01/2023,09/30/2024
05C0001481,PAIN DIAGNOSTIC & TREATMENT CENTER,2805 J ST SUITE 200,SACRAMENTO,CA,95816,,(916) 231-8755,96,4,0,98,90,8,2,94,82,15,3,94,81,16,3,92,,1487,449,30,10/01/2023,09/30/2024
05C0001493,NORTH STATE SURGERY CENTERS LP DBA CT ST SURGERY CENTER,2184 CT ST,REDDING,CA,96001,,(530) 225-7417,98,2,0,99,89,9,2,94,87,12,1,96,86,12,2,94,,602,198,33,10/01/2023,09/30/2024
05C0001508,STOCKTON OUTPATIENT SURGERY CENTER LLC DBA AMBULATORY SURGERY CENTER OF STOCKTON,2388 NORTH CALIFORNIA ST,STOCKTON,CA,95204,,(209) 944-9100,96,3,1,97,90,8,2,94,89,11,0,96,86,10,4,93,,793,268,34,10/01/2023,09/30/2024
05C0001511,MONTEREY PENINSULA SURGERY CENTER MUNRAS AVE,665 MUNRAS AVE. STE. 100,MONTEREY,CA,93940,,(831) 372-2169,,,,,,,,,,,,,,,,,4,,,,,
05C0001529,SANTA BARBARA SURGERY CENTER,3045 DE LA VINA ST,SANTA BARBARA,CA,93105,,(805) 569-3226,97,3,0,98,92,7,1,95,90,8,2,96,91,8,1,96,,809,309,38,10/01/2023,09/30/2024
05C0001534,FOLSOM OUTPATIENT SURGERY CENTER LP DBA FOLSOM SURGERY CENTER,1651 CREEKSIDE DR SUITE 100,FOLSOM,CA,95630,,(916) 673-1990,97,3,0,98,92,7,1,96,92,6,2,95,92,6,2,96,,687,218,32,10/01/2023,09/30/2024
05C0001552,SUMMIT SURGICAL,1630 EAST HERNDON AVE #100,FRESNO,CA,93720,,(559) 256-1601,98,2,0,99,92,6,2,95,92,7,1,96,91,8,1,97,,1635,494,30,10/01/2023,09/30/2024
05C0001554,SIERRA ENDOSCOPY CENTER,300 SIERRA COLLEGE DR SUITE 105,GRASS VALLEY,CA,95945,,(530) 273-3377,97,3,0,98,90,8,2,94,89,9,2,95,90,9,1,96,,1361,459,34,10/01/2023,09/30/2024
05C0001558,PACIFIC ENDO-SURGICAL CENTER LP,3445 PACIFIC COAST HWY SUITE 120,TORRANCE,CA,90505,,(310) 326-1666,97,3,0,98,91,7,2,94,86,12,2,93,85,13,2,94,,978,250,26,10/01/2023,09/30/2024
05C0001560,EL DORADO SURGERY CENTER LLC,4300 GOLDEN CENTER DRIVE SUITE E,PLACERVILLE,CA,95667,,(530) 344-1680,,,,,,,,,,,,,,,,,4,,,,,
05C0001571,UNIVERSITY SURGERY CENTER,1390 E. YOSEMITE AVE. STE. B,MERCED,CA,95340,,(209) 580-3409,97,3,0,98,87,10,3,92,85,12,3,94,82,15,3,93,,1467,305,21,10/01/2023,09/30/2024
05C0001572,ROSEVILLE SURGERY CENTER,1420 ROSEVILLE PARKWAY SUITE 100,ROSEVILLE,CA,95661,,(916) 677-2488,93,6,1,96,89,9,2,94,78,15,7,91,77,17,6,89,,765,255,33,10/01/2023,09/30/2024
05C0001576,LEE AND BAE GI MEDICAL CORPORATION,"3200 WILSHIRE BLVD, SUITE 101",LOS ANGELES,CA,90006,,(000) 000-0000,,,,,,,,,,,,,,,,,4,,,,,
05C0001596,TRESANTI SURGICAL CENTER LLC,"5201 NORRIS CANYON RD., # 100",SAN RAMON,CA,94583,,(925) 973-0605,98,2,0,99,94,5,1,97,95,5,0,98,95,5,0,98,,880,266,30,10/01/2023,09/30/2024
05C0001604,ENDOSCOPY CENTER OF SOUTH SACRAMENTO,8120 TIMBERLAKE WAY SUITE 103,SACRAMENTO,CA,95823,,(916) 681-2350,95,4,1,97,90,8,2,94,78,19,3,91,79,19,2,92,,1005,196,20,10/01/2023,09/30/2024
05C0001617,ENDOSCOPY CENTER OF INLAND EMPIRE LLC,40404 CALIFORNIA OAKS RD SUITE A,MURRIETA,CA,92562,,(951) 304-0200,,,,,,,,,,,,,,,,,4,,,,,
05C0001643,NORTH STATE SURGERY CENTERS DBA MERCY SURGERY CENTER,2175 ROSALINE AVE SUITE A,REDDING,CA,96001,,(530) 245-4845,98,2,0,99,90,8,2,94,88,10,2,95,88,12,0,96,,723,200,28,10/01/2023,09/30/2024
05C0001656,VENTURA ENDOSCOPY CENTER LLC,5810 RALSTON ST SUITE 101,VENTURA,CA,93003,,(805) 641-3848,,,,,,,,,,,,,,,,,4,,,,,
05C0001711,ST JOSEPH'S SURGERY CENTER,1800 NORTH CALIFORNIA ST SUITE 1,STOCKTON,CA,95204,,(209) 467-6316,96,4,0,98,92,7,1,96,90,9,1,95,86,13,1,95,,860,192,22,10/01/2023,09/30/2024
05C0001719,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98,2,0,99,95,4,1,97,91,7,2,96,88,10,2,95,,2451,730,30,10/01/2023,09/30/2024
05C0001730,ADVANCED ENDOSCOPY AND PAIN CENTER LLC,1753 WEST AVE J SUITE A,LANCASTER,CA,93534,,(661) 206-0555,,,,,,,,,,,,,,,,,4,,,,,
05C0001750,REAGAN ST SURGERY CENTER,10904 REAGAN ST,LOS ALAMITOS,CA,90720,,(562) 596-3140,98,2,0,99,89,9,2,94,85,14,1,95,87,10,3,94,2,744,197,26,10/01/2023,09/30/2024
05C0001753,COURTYARD SURGERY PAVILION INC,112 N. AKERS,VISALIA,CA,93291,,(559) 733-4372,,,,,,,,,,,,,,,,,4,,,,,
05C0001756,THE ENDOSCOPY CENTER,"700 GARDEN VIEW CT., SUITE 101",ENCINITAS,CA,92024,,(760) 274-2700,98,2,0,99,92,6,2,95,90,9,1,96,90,10,0,96,,982,281,29,10/01/2023,09/30/2024
05C0001757,GRASS VALLEY SURGERY CENTER,408 SIERRA COLLEGE DR,GRASS VALLEY,CA,95945,,(530) 271-2282,98,2,0,99,92,7,1,96,92,6,2,96,95,5,0,98,,397,184,46,10/01/2023,09/30/2024
05C0001764,SANTA CLARITA SURGERY CENTER DBA PROVIDENCE SUMMIT SURGERY CENTER,26357 MCBEAN PARKWAY SUITE 100,SANTA CLARITA,CA,91355,,(661) 799-8300,97,2,1,98,92,6,2,95,91,8,1,96,88,11,1,95,,674,187,28,10/01/2023,09/30/2024
05C0001803,PACIFIC ENDOSCOPY AND SURGERY CENTER LLC,17815 NEWHOPE ST SUITE R,FOUNTAIN VALLEY,CA,92708,,(714) 432-8881,98,2,0,99,96,3,1,98,89,9,2,95,87,10,3,94,,923,190,21,10/01/2023,09/30/2024
05C0001813,RENAISSANCE SURGERY CENTER LLC,2365 EAST FIR AVE,FRESNO,CA,93720,,(559) 797-9100,99,1,0,99,94,5,1,97,93,6,1,96,91,8,1,97,,679,229,34,10/01/2023,09/30/2024
05C0001816,MONTEREY PENNISULA SURGERY CENTER LLC,"2 UPPER RAGSDALE DR, BLDG. B-160",MONTEREY,CA,93940,,(831) 372-2169,,,,,,,,,,,,,,,,,4,,,,,
05C0001831,THE SURGERY CENTER AT NORTHBAY VACA VALLEY,1006 NUT TREE RD,VACAVILLE,CA,95687,,(707) 628-8200,,,,,,,,,,,,,,,,,4,,,,,
05C0001840,OASIS SURGERY CENTER LP,815 AUTO CENTER DR.,PALMDALE,CA,93551,,(661) 206-6262,99,1,0,99,90,8,2,94,93,6,1,97,93,6,1,97,,1546,256,17,10/01/2023,09/30/2024
05C0001842,SCRIPPS ENCINITAS SURGERY CENTER LLC,320 SANTA FE DR  SUITE LL2,ENCINITAS,CA,92024,,(760) 632-3900,98,1,1,99,91,7,2,95,87,11,2,95,87,11,2,95,,740,210,28,10/01/2023,09/30/2024
05C0001849,SPECIALTY SURGICAL CENTER OF THOUSAND OAKS LP,"696 HAMPSHIRE RD, SUITE 100",WESTLAKE VILLAGE,CA,91361,,(805) 413-7920,97,3,0,98,92,6,2,95,91,8,1,96,88,11,1,95,,3207,860,27,10/01/2023,09/30/2024
05C0001860,TALBERT SURGICAL ASSOCIATES,"7677 CENTER AVE, # 104",HUNTINGTON BEACH,CA,92647,,(714) 881-8722,93,6,1,96,87,11,2,92,82,15,3,92,76,20,4,90,,1839,392,21,10/01/2023,09/30/2024
05C0001863,HACIENDA OUTPATIENT SURGERY CENTER LLC DBA HACIENDA SURGERY CENTER,4626 WILLOW RD SUITE 100,PLEASANTON,CA,94588,,(925) 734-6744,98,2,0,99,94,5,1,96,90,9,1,96,90,10,0,96,,799,185,23,10/01/2023,09/30/2024
05C0001879,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98,2,0,99,93,6,1,96,92,7,1,96,90,9,1,96,,4951,1061,21,10/01/2023,09/30/2024
05C0002005,CAPITOLA SURGERY CENTER,2265 41ST AVE,CAPITOLA,CA,95010,,(831) 372-2169,,,,,,,,,,,,,,,,,4,,,,,
05C0002025,VIRGIL ENDOSCOPY CENTER LLC,500 S. VIRGIL AVE,LOS ANGELES,CA,90020,,(213) 738-6090,,,,,,,,,,,,,,,,,4,,,,,
05C0002054,FACEY MEDICAL FOUNDATION,11333 N. SEPULVEDA BLVD,MISSION HILLS,CA,91345,,(818) 869-7048,,,,,,,,,,,,,,,,,4,,,,,
05C0002179,SCRIPPS HEALTH,10010 CAMPUS POINT DR,SAN DIEGO,CA,92121,,(619) 743-5565,98,2,0,99,93,6,1,96,89,9,2,95,89,10,1,96,,7254,1241,17,10/01/2023,09/30/2024
05C0002196,VENTANA SURGICAL CENTER LLC,18133 VENTURA BLVD SUITE 400,ADDISON,CA,91356,,(818) 668-6200,95,4,1,97,92,6,2,95,86,10,4,93,79,19,2,92,,1131,231,20,10/01/2023,09/30/2024
05C0002199,SURGCENTER OF SAN DIEGO DBA ADVANCED SURGERY CENTER OF NORTH COUNTY,488 EAST VALLEY PARKWAY SUITE 100,ESCONDIDO,CA,92025,,(760) 546-4386,98,2,0,99,93,6,1,96,92,7,1,96,87,12,1,95,,738,217,29,10/01/2023,09/30/2024
05C0002215,WEST COAST JOINT AND SPINE CENTER,8135 SARATOGA WAY,EL DORADO HILLS,CA,95762,,(000) 000-0000,98,2,0,99,92,6,2,95,93,5,2,96,92,5,3,96,,735,237,32,10/01/2023,09/30/2024
05C0002244,NORCAL ANESTHESIA AND PAIN AFFILIATES INC DBA CHICO SURGICAL AFFILIATES,615 WEST EAST AVENUE,CHICO,CA,95926,,(530) 487-8114,,,,,,,,,,,,,,,,,4,,,,,
05C0002282,SCRIPPS HEALTH DBA ASC JEFFERSON,2205 VISTA WAY,OCEANSIDE,CA,92054,,(000) 000-0000,99,1,0,99,94,5,1,96,92,7,1,96,91,8,1,96,,3481,778,22,10/01/2023,09/30/2024
06C0001028,KAISER PERMANENTE SURGERY CTR,2045 FRANKLIN ST,DENVER,CO,80205,,(303) 764-4420,98,2,0,99,94,5,1,97,88,10,2,95,83,15,2,93,,4127,1295,31,10/01/2023,09/30/2024
06C0001029,PUEBLO AMBULATORY SURGERY CENTER LLC,25 MONTEBELLO RD,PUEBLO,CO,81001,,(719) 544-1600,97,2,1,98,93,6,1,96,83,14,3,94,84,14,2,94,2,378,104,28,10/01/2023,09/30/2024
06C0001049,ROCKY MOUNTAIN ENDOSCOPY CENTERS LLC,10001 N. WASHINGTON ST.,THORNTON,CO,80229,,(303) 205-1090,96,3,1,98,90,7,3,93,83,14,3,93,77,21,2,91,,1210,223,18,10/01/2023,09/30/2024
06C0001056,MADISON STREET SURGERY CENTER LLC,55 MADISON ST. 200,DENVER,CO,80206,,(303) 388-0599,,,,,,,,,,,,,,,,,4,,,,,
06C0001057,AUDUBON AMBULATORY SURGERY CENTER LLC,3030 N. CIR DR STE 101,COLORADO SPRINGS,CO,80909,,(719) 355-3422,98,2,0,99,92,6,2,95,90,8,2,95,89,10,1,96,,946,245,26,10/01/2023,09/30/2024
06C0001058,GOLDEN RIDGE SURGERY CENTER,660 GOLDEN RIDGE RD SUITE 110,GOLDEN,CO,80401,,(303) 963-1507,97,3,0,98,92,7,1,96,89,10,1,96,85,15,0,95,,767,215,28,10/01/2023,09/30/2024
06C0001061,HARMONY SURGERY CENTER LLC,2127 EAST HARMONY RD SUITE 200,FORT COLLINS,CO,80528,,(970) 297-6350,,,,,,,,,,,,,,,,,4,,,,,
